Line Name,Station Name,Station Code
Lakeshore West,Union Station,UN
Lakeshore West,Exhibition,EX
Lakeshore West,Mimico,MI
Lakeshore West,Long Branch,LO
Lakeshore West,Port Credit,PO
Lakeshore West,Clarkson,CL
Lakeshore West,Oakville,OA
Lakeshore West,Bronte,BO
Lakeshore West,Appleby,AP
Lakeshore West,Burlington,BU
Lakeshore West,Aldershot,AL
Lakeshore West,Hamilton,HA
Lakeshore West,West Harbour,WR
Lakeshore West,St. Catharines,SCTH
Lakeshore West,Niagara Falls,NI
Lakeshore East,Union Station,UN
Lakeshore East,Danforth,DA
Lakeshore East,Scarborough,SC
Lakeshore East,Eglinton,EG
Lakeshore East,Guildwood,GU
Lakeshore East,Rouge Hill,RO
Lakeshore East,Pickering,PIN
Lakeshore East,Ajax,AJ
Lakeshore East,Whitby,WH
Lakeshore East,Oshawa,OS
Milton,Union Station,UN
Milton,Kipling,KP
Milton,Dixie,DI
Milton,Cooksville,CO
Milton,Erindale,ER
Milton,Streetsville,SR
Milton,Meadowvale,ME
Milton,Lisgar,LS
Milton,Milton,ML
Kitchener,Union Station,UN
Kitchener,Bloor,BL
Kitchener,Weston,WE
Kitchener,Etobicoke North,ET
Kitchener,Malton,MA
Kitchener,Bramalea,BE
Kitchener,Brampton,BR
Kitchener,Mount Pleasant,MO
Kitchener,Georgetown,GE
Kitchener,Acton,AC
Kitchener,Guelph,GL
Kitchener,Kitchener,KI
Barrie,Union Station,UN
Barrie,Downsview Park,DW
Barrie,Rutherford,RU
Barrie,Maple,MP
Barrie,King City,KC
Barrie,Aurora,AU
Barrie,Newmarket,NE
Barrie,East Gwillimbury,EA
Barrie,Bradford,BD
Barrie,Barrie South,BA
Barrie,Allandale Waterfront,AD
Richmond Hill,Union Station,UN
Richmond Hill,Oriole,OR
Richmond Hill,Old Cummer,OL
Richmond Hill,Langstaff,LA
Richmond Hill,Richmond Hill,RI
Richmond Hill,Gormley,GO
Richmond Hill,Bloomington,BM
Stouffville,Union Station,UN
Stouffville,Kennedy,KE
Stouffville,Agincourt,AG
Stouffville,Milliken,MK
Stouffville,Unionville,UI
Stouffville,Centennial,CE
Stouffville,Markham,MR
Stouffville,Mount Joy,MJ
Stouffville,Stouffville,ST
Stouffville,Old Elm,LI
